English,Francais,Lingala,Swahili
Second Screen,Deuxieme Ecran,Ecran ya Mibale,Ecran ya Pili
Logo Mask,Masque Logo,Bomba na se ya Logo,Funika na Logo
Mute/Unmute,Couper Le Son,Boma Son,Tocha Sauti
Song:,Cantique:,Nzembo:,Muziki
Random,Alleatoire,Random,Cheza Muziki
Songs,Cantiques,Songs,Muziki
Videos,Videos,Videos,Filamu
Pictures,Images,Pictures,Picha
Titles,Titres,Titles,Mada
Verses,Versets,Verses,Andiko
Settings,Paramettres,Settings,Hiari
Browse,Chercher,Browse,Tafuta
Picture:,Image:,Picture:,Picha:
Show,Projeter,Show,Onyesha
Done,Areter,Done,Maliza
Description:,Description:,Description:,Wasifu:
Title:,Theme:,Title:,Mada:
References:,References:,References:,Nyongeza:
Verse:,Verset:,Verse:,Andiko:
Path To Songs:,Dossier de Cantiques:,Path To Songs:,Chumba ya Miziqi:
Language:,Langue:,Language:,Lugha:
Save,Sauvegarde,Save,Weka
Edit/Modify,Modifier,Edit/Modify,Kuhariri
Video:,Video:,Video:,Filamu:
Cancel,Annuler,Cancel,Acha
Yeartext,Texte de l'annee,Mokapo ya mobu,Andiko la Mwaka